"Scientific_name","New","Common_name","Clade","Taxon_ID","Assembly_name","Accession","Genome_size_bps","Annotation_provider","Annotation_method","Annotation","Genome","RNA_Seq"
"Acrobasis suavella","","Moths (alternate haplotype)","Lepidoptera","1857951","ilAcrSuav1.1_alternate_haplotype","GCA_943193685.1","514085146","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Acromyrmex echinatior","","Panamanian leaf-cutter ant","Hymenoptera","103372","Aech_3.9","GCA_000204515.1","295944863","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Acronicta aceris","","Moths","Lepidoptera","987859","ilAcrAcer1.1","GCA_910591435.1","466369003","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Acronicta aceris","","Moths (alternate haplotype)","Lepidoptera","987859","ilAcrAcer1.2_alternate_haplotype","GCA_910591495.2","403587884","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Acropora millepora","","Stony coral (JS-1)","Metazoa","45264","Amil_v2.1","GCA_013753865.1","475381253","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Actinia equina","","Beadlet anemone (AE1)","Metazoa","6106","equina_smartden.arrow4.noredun","GCA_011057435.1","409058306","Liverpool John Moores University","import","FASTA/GTF/GFF3/TSV","FASTA",""
"Actinia tenebrosa","","Australian red waratah sea anemone","Metazoa","6105","ASM960242v1","GCA_009602425.1","238200427","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Acyrthosiphon pisum","","Pea aphid (AL4f)","Hemiptera","7029","pea_aphid_22Mar2018_4r6ur_v2","GCA_005508785.2","533649363","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Adalia bipunctata","","Two-spotted ladybird beetle","Coleoptera","7084","icAdaBipu1.1","GCA_910592335.1","475267023","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Adalia bipunctata","","Two-spotted ladybird beetle (alternate haplotype)","Coleoptera","7084","icAdaBipu1.1_alternate_haplotype","GCA_910591895.1","357820147","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aethina tumida","","Small hive beetle","Coleoptera","116153","icAetTumi1.1","GCA_024364675.1","259967705","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aethina tumida","","Small hive beetle (alternate haplotype)","Coleoptera","116153","icAetTumi1.1_alternate_haplotype","GCA_024364635.1","207549811","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Agonopterix subpropinquella","","Moths (alternate haplotype)","Lepidoptera","1857958","ilAgoSubp1.1_alternate_haplotype","GCA_922987765.1","666958211","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agonopterix subpropinquella","","Moths","Lepidoptera","1857958","ilAgoSubp1.1","GCA_922987775.1","667889224","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agrilus planipennis","","Emerald ash borer (EAB-ADULT)","Coleoptera","224129","Apla_2.0","GCA_000699045.2","353072773","NCBI","import","FASTA/GTF/GFF3/TSV","FASTA",""
"Agriopis aurantiaria","","Scarce umber moth (alternate haplotype)","Lepidoptera","104476","ilAgrAura1.1_alternate_haplotype","GCA_914767795.1","482878758","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agriopis aurantiaria","","Scarce umber moth","Lepidoptera","104476","ilAgrAura1.1","GCA_914767915.1","485369969","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agriopis marginaria","","Dotted border","Lepidoptera","190331","ilAgrMarg1.1","GCA_932305915.1","500879769","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Agriopis marginaria","","Dotted border (alternate haplotype)","Lepidoptera","190331","ilAgrMarg1.1_alternate_haplotype","GCA_932301435.1","502488742","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Agriotes lineatus","","Lined click beetle","Coleoptera","292458","PGI_AGRIOTES_LIN_V1","GCA_940337035.1","3159863714","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Agriphila geniculea","","Moths (alternate haplotype)","Lepidoptera","1660579","ilAgrGeni1.1_alternate_haplotype","GCA_943789515.1","723572193","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agriphila geniculea","","Moths (alternate haplotype)","Lepidoptera","1660579","ilAgoAren1.1_alternate_haplotype","GCA_927400025.1","539623764","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agriphila geniculea","","Moths","Lepidoptera","1660579","ilAgrGeni1.1","GCA_943789525.1","781638172","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agriphila geniculea","","Moths","Lepidoptera","1660579","ilAgoAren1.1","GCA_927399405.1","545810559","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agriphila tristella","","Moths","Lepidoptera","1594226","ilAgrTris1.1","GCA_928269145.1","801760480","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agriphila tristella","","Moths (alternate haplotype)","Lepidoptera","1594226","ilAgrTris1.1_alternate_haplotype","GCA_928269205.1","806420820","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agrochola circellaris","","Moths (alternate haplotype)","Lepidoptera","987866","ilAgrCirc1.1_alternate_haplotype","GCA_914767685.1","571928833","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agrochola circellaris","","Moths","Lepidoptera","987866","ilAgrCirc1.1","GCA_914767755.1","572147337","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agrochola macilenta","","Moths (alternate haplotype)","Lepidoptera","987872","ilAgrMaci1.1_alternate_haplotype","GCA_916701705.1","644112804","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agrochola macilenta","","Moths","Lepidoptera","987872","ilAgrMaci1.1","GCA_916701695.1","683208122","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Agrotis puta","","Moths (alternate haplotype)","Lepidoptera","1857961","ilAgrPuta1.1_alternate_haplotype","GCA_943137145.1","515943653","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Agrotis puta","","Moths","Lepidoptera","1857961","ilAgrPuta1.1","GCA_943136025.1","523306009","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Agrypnus murinus","","Beetles","Coleoptera","195168","icAgrMuri1.1","GCA_929113105.1","1578505632","Ensembl","Braker","FASTA/GTF/GFF3/TSV","FASTA",""
"Agrypnus murinus","","Beetles (alternate haplotype)","Coleoptera","195168","icAgrMuri1.1_alternate_haplotype","GCA_929114945.1","1216220439","Ensembl","Braker","FASTA/GTF/GFF3/TSV","FASTA",""
"Ailuropoda melanoleuca","","Giant panda","Mammals","9646","ASM200744v2","GCA_002007445.2","2444060653","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Allophyes oxyacanthae","","Moths","Lepidoptera","988056","ilAllOxya1.1","GCA_932294325.1","458464223","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Allophyes oxyacanthae","","Moths (alternate haplotype)","Lepidoptera","988056","ilAllOxya1.1_alternate_haplotype","GCA_932294395.1","453482524","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Alosa sapidissima","","American shad","Fish","34773","fAloSap1.pri","GCA_018492685.1","903564947","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Alouatta palliata","","Mantled howler monkey","Primates","30589","AloPal_v1_BIUU","GCA_004027835.1","3033617595","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Amblyraja radiata","","Thorny skate","Chordates","386614","sAmbRad1.pri","GCA_010909765.1","2558784953","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Amblyteles armatorius","","Wasps, ants, and bees","Hymenoptera","231887","iyAmbArma2.1","GCA_933228735.1","215770695","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Ameiurus melas","","Black bullhead","Fish","219545","AMELA_1.0","GCA_012411365.1","868496679","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Amphibalanus amphitrite","","Acorn barnacle (SeventyFive)","Arthropods","1232801","NRLGWU_Aamphi_draft","GCA_019059575.1","807619925","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Amphimedon queenslandica","","Demosponge","Metazoa","400682","v1.1","GCA_000090795.2","164262607","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Amphiprion ocellaris","","Clown anemonefish (Okinawa)","Fish","80972","ASM2253959v1","GCA_022539595.1","863484803","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Amphipyra berbera","","Moths","Lepidoptera","987877","ilAmpBerb1.2","GCA_910594945.2","582289898","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Amphipyra berbera","","Moths","Lepidoptera","987877","ilAmpBerb1.1","GCA_910594945.1","582314631","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Amphipyra berbera","","Moths (alternate haplotype)","Lepidoptera","987877","ilAmpBerb1.1_alternate_haplotype","GCA_910595045.1","579408172","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Amphipyra tragopoginis","","Moths (alternate haplotype)","Lepidoptera","689058","ilAmpTrag2.1_alternate_haplotype","GCA_905220425.1","806994927","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Amphipyra tragopoginis","","Moths","Lepidoptera","689058","ilAmpTrag2.1","GCA_905220435.1","805653278","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Amyelois transitella","","Naval orange worm (UIUC subculture of SPIRL-1966)","Lepidoptera","680683","ASM118610v1","GCA_001186105.1","406468287","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Anabas testudineus","","Climbing perch","Fish","64144","fAnaTes1.3","GCA_900324465.3","555641398","Ensembl","Full genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anabas testudineus","","Climbing perch","Fish","64144","fAnaTes1.2","GCA_900324465.2","555641398","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Anabas testudineus","","Climbing perch","Fish","64144","fAnaTes1.1","GCA_900324465.1","569705464","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anableps anableps","","Largescale foureyes","Fish","195821","fAnaAna1.pri","GCA_014839685.1","867616482","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Anas platyrhynchos","","Mallard (Laying duck)","Birds","8839","CAU_Laying_1.0","GCA_017639305.1","1217695176","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Anas platyrhynchos","","Mallard (Pekin duck)","Birds","8839","ZJU1.0","GCA_015476345.1","1188533289","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anas platyrhynchos","","Mallard (pekin duck)","Birds","8839","CAU_Pekin_2.0","GCA_017639285.1","1186367508","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Anas zonorhyncha","","Eastern spot-billed duck","Birds","75864","ASM222487v1","GCA_002224875.1","1310797575","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Ancistrocerus nigricornis","","Wasps, ants, and bees","Hymenoptera","76990","iyAncNigr1.1","GCA_916049575.1","231995547","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Ancistrocerus nigricornis","","Wasps, ants, and bees (alternate haplotype)","Hymenoptera","76990","iyAncNigr1.1_alternate_haplotype","GCA_916050135.1","210379627","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Andrena dorsata","","Bees","Hymenoptera","1411666","iyAndDors1.1","GCA_929108735.1","277321003","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Andrena dorsata","","Bees (alternate haplotype)","Hymenoptera","1411666","iyAndDors1.1_alternate_haplotype","GCA_929114765.1","215949665","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Andrena haemorrhoa","","Bees","Hymenoptera","444401","iyAndHaem1.1","GCA_910592295.1","330670691","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Andrena haemorrhoa","","Bees (alternate haplotype)","Hymenoptera","444401","iyAndHaem1.1_alternate_haplotype","GCA_910592125.1","238273182","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Andrena hattorfiana","","Bees","Hymenoptera","1126402","iyAndHatt1.1","GCA_944738655.1","428511216","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Andrena minutula","","Bees","Hymenoptera","1190802","iyAndMinu1.1","GCA_929113495.1","380445275","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Andrena minutula","","Bees (alternate haplotype)","Hymenoptera","1190802","iyAndMinu1.1_alternate_haplotype","GCA_929113085.1","283595785","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anguilla anguilla","","European eel","Fish","7936","fAngAng1.pri","GCA_013347855.1","979029243","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Anneissia japonica","","Sea lily (Jap-2015-1)","Metazoa","1529436","ASM1163010v1","GCA_011630105.1","589628371","NCBI","import","FASTA/GTF/GFF3/TSV","FASTA",""
"Anolis carolinensis","","Green anole","Reptiles","28377","AnoCar2.0","GCA_000090745.2","1799143587","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles aquasalis","","Mosquitos","Diptera","42839","idAnoAquaMG_Q_19","GCA_943734665.1","176573000","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles atroparvus","","Mosquito (Infravec2 EBRE)","Diptera","41427","atroparvus_hifiasm_n225_277Mb","GCA_914969975.1","277763289","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles bellator","","Mosquitos","Diptera","139047","idAnoBellAS_SP24_06","GCA_943735745.1","169575294","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles coustani","","Mosquitos","Diptera","139045","idAnoCousDA_361_x","GCA_943734705.1","269983652","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles cruzii","","Mosquitos","Diptera","68878","idAnoCruzAS_RS32_06","GCA_943734635.1","184069349","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles darlingi","","American malaria mosquito","Diptera","43151","idAnoDarlMG_H_01","GCA_943734745.1","181637336","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles gambiae","","African malaria mosquito","Diptera","7165","idAnoGambNW_F1_1","GCA_943734735.1","264451381","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles maculipalpis","","Mosquitos","Diptera","1496333","idAnoMacuDA_375_x","GCA_943734695.1","224059441","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles marshallii","","Mosquitos","Diptera","1521116","idAnoMarsDA_429_01","GCA_943734725.1","225712104","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles nili","","Mosquitos","Diptera","185578","idAnoNiliSN_F5_01","GCA_943737925.1","195220701","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anopheles ziemanni","","Mosquitos","Diptera","345580","idAnoZiCoDA_A2_x","GCA_943734765.1","260069287","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anoplius nigerrimus","","Wasps, ants, and bees (alternate haplotype)","Hymenoptera","1667466","iyAnoNige1.1_alternate_haplotype","GCA_914767785.1","624146646","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Anoplius nigerrimus","","Wasps, ants, and bees","Hymenoptera","1667466","iyAnoNige1.1","GCA_914767735.1","623783591","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Anser cygnoides domesticus","","Swan goose (Zhedong)","Birds","381198","AnsCyg_PRJNA183603_v1.0","GCA_000971095.1","1119151626","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anthocharis cardamines","","Orange tip (alternate haplotype)","Lepidoptera","227532","ilAntCard3.1_alternate_haplotype","GCA_905404305.1","327220656","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anthocharis cardamines","","Orange tip","Lepidoptera","227532","ilAntCard3.1","GCA_905404175.1","359601502","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anthonomus grandis grandis","","Boll weevil (alternate haplotype)","Coleoptera","2921223","icAntGran1.2_alternate_haplotype","GCA_022605985.2","371797639","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anthonomus grandis grandis","","Boll weevil","Coleoptera","2921223","icAntGran1.3","GCA_022605725.3","697452952","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Anthonomus grandis grandis","","Boll weevil","Coleoptera","2921223","icAntGran1.3","GCA_022605725.3","697452952","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Apamea monoglypha","","Moths (alternate haplotype)","Lepidoptera","875885","ilApaMono1.2_alternate_haplotype","GCA_911387735.2","575443327","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Apamea monoglypha","","Moths","Lepidoptera","875885","ilApaMono1.2","GCA_911387795.2","575666810","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Apeira syringaria","","Moths (alternate haplotype)","Lepidoptera","934915","ilApeSyri1.1_alternate_haplotype","GCA_934045895.1","474552682","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Apeira syringaria","","Moths","Lepidoptera","934915","ilApeSyri1.1","GCA_934044485.1","544428085","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Aphidius gifuensis","","Parasitoid wasp (YNYX2018)","Hymenoptera","684658","ASM1490517v1","GCA_014905175.1","156964627","NCBI","import","FASTA/GTF/GFF3/TSV","FASTA",""
"Aphis gossypii","","Cotton aphid","Hemiptera","80765","PGI_APHIGO_v1","GCA_917880025.1","325719615","PGI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Apis dorsata","","Giant honeybee","Hymenoptera","7462","Apis_dorsata_1.3","GCA_000469605.1","230340171","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Apis florea","","Dwarf honeybee","Hymenoptera","7463","Aflo_1.0","GCA_000184785.2","229015090","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA",""
"Aplocera efformata","","Moths (alternate haplotype)","Lepidoptera","934917","ilAplEffo1.1_alternate_haplotype","GCA_921293035.1","250785568","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aplocera efformata","","Moths","Lepidoptera","934917","ilAplEffo1.1","GCA_921293045.1","349483148","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aplysia californica","","California sea hare (F4 #8)","Metazoa","6500","AplCal3.0","GCA_000002075.2","927310431","NCBI","import","FASTA/GTF/GFF3/TSV","FASTA",""
"Aporia crataegi","","Black-veined white","Lepidoptera","129397","ilApoCrat1.1","GCA_912999735.1","229678889","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aporia crataegi","","Black-veined white (alternate haplotype)","Lepidoptera","129397","ilApoCrat1.1_alternate_haplotype","GCA_912999795.1","226642800","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aporia crataegi","","Black-veined white (alternate haplotype)","Lepidoptera","129397","ilApoCrat1.2_alternate_haplotype","GCA_912999795.2","226628546","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aporophyla lueneburgensis","","Moths (alternate haplotype)","Lepidoptera","1337163","ilApoLuen1.1_alternate_haplotype","GCA_932294405.1","915863888","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aporophyla lueneburgensis","","Moths","Lepidoptera","1337163","ilApoLuen1.1","GCA_932294355.1","978291914","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Apotomis betuletana","","Moths (alternate haplotype)","Lepidoptera","1100915","ilApoBetu1.1_alternate_haplotype","GCA_932273875.1","682305395","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Apotomis betuletana","","Moths","Lepidoptera","1100915","ilApoBetu1.1","GCA_932273695.1","684224795","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Apotomis turbidana","","Moths","Lepidoptera","1100916","ilApoTurb1.2","GCA_905147355.2","720450266","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Apotomis turbidana","","Moths (alternate haplotype)","Lepidoptera","1100916","ilApoTurb1.1_alternate_haplotype","GCA_905147195.1","675155251","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA",""
"Aptenodytes patagonicus","","King penguin","Birds","9234","BGI_Apat.V1","GCA_010087175.1","1252291219","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Aquila chrysaetos chrysaetos","","Golden eagle","Birds","223781","bAquChr1.2","GCA_900496995.2","1203454851","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Archocentrus centrarchus","","Flier cichlid","Fish","63155","fArcCen1","GCA_007364275.2","932930362","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aricia agestis","","Brown argus","Lepidoptera","91739","ilAriAges2.1","GCA_944452695.1","437367655","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aricia agestis","","Brown argus","Lepidoptera","91739","ilAriAges1.1","GCA_905147365.1","435265205","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aricia agestis","","Brown argus (alternate haplotype)","Lepidoptera","91739","ilAriAges2.1_alternate_haplotype","GCA_944452645.1","433632574","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aricia artaxerxes","","Northern brown argus","Lepidoptera","91738","ilAriArta2.1","GCA_937612035.1","458481091","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Aricia artaxerxes","","Northern brown argus (alternate haplotype)","Lepidoptera","91738","ilAriArta2.1_alternate_haplotype","GCA_937610355.1","327847811","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Artibeus jamaicensis","","Jamaican fruit-eating bat","Mammals","9417","ArtJam_v1_BIUU","GCA_004027435.1","2424784351","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Artibeus jamaicensis","","Jamaican fruit-eating bat","Mammals","9417","WHU_Ajam_v2","GCA_014825515.1","2207601705","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Arvicanthis niloticus","","African grass rat","Rodents","61156","mArvNil1.pat.X","GCA_011762505.1","2496761438","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA",""
"Arvicola amphibius","","Eurasian water vole","Rodents","1047088","mArvAmp1.1","GCA_903992535.1","2297765997","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","BAM"
