Scientific_name	New	Common_name	Clade	Taxon_ID	Assembly_name	Accession	Genome_size_bps	Annotation_provider	Annotation_method	Annotation	Genome	RNA_Seq
Amphipyra berbera		Moths (alternate haplotype)	Lepidoptera	987877	ilAmpBerb1.1_alternate_haplotype	GCA_910595045.1	579408172	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Anabas testudineus		Climbing perch	Fish	64144	fAnaTes1.1	GCA_900324465.1	569705464	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Anas platyrhynchos		Mallard (pekin duck)	Birds	8839	CAU_Pekin_2.0	GCA_017639285.1	1186367508	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Andrena dorsata		Bees (alternate haplotype)	Hymenoptera	1411666	iyAndDors1.1_alternate_haplotype	GCA_929114765.1	215949665	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Anguilla anguilla		European eel	Fish	7936	fAngAng1.pri	GCA_013347855.1	979029243	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Anopheles atroparvus		Mosquito (Infravec2 EBRE)	Diptera	41427	atroparvus_hifiasm_n225_277Mb	GCA_914969975.1	277763289	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Anthocharis cardamines		Orange tip (alternate haplotype)	Lepidoptera	227532	ilAntCard3.1_alternate_haplotype	GCA_905404305.1	327220656	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Anthonomus grandis grandis		Boll weevil (alternate haplotype)	Coleoptera	2921223	icAntGran1.2_alternate_haplotype	GCA_022605985.2	371797639	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Apamea monoglypha		Moths (alternate haplotype)	Lepidoptera	875885	ilApaMono1.2_alternate_haplotype	GCA_911387735.2	575443327	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Apamea monoglypha		Moths	Lepidoptera	875885	ilApaMono1.2	GCA_911387795.2	575666810	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Aphis gossypii		Cotton aphid	Hemiptera	80765	PGI_APHIGO_v1	GCA_917880025.1	325719615	PGI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Apis florea		Dwarf honeybee	Hymenoptera	7463	Aflo_1.0	GCA_000184785.2	229015090	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Aporia crataegi		Black-veined white	Lepidoptera	129397	ilApoCrat1.1	GCA_912999735.1	229678889	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Apotomis betuletana		Moths	Lepidoptera	1100915	ilApoBetu1.1	GCA_932273695.1	684224795	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Aricia agestis		Brown argus (alternate haplotype)	Lepidoptera	91739	ilAriAges2.1_alternate_haplotype	GCA_944452645.1	433632574	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Arvicola amphibius		Eurasian water vole	Rodents	1047088	mArvAmp1.2	GCA_903992535.2	2297766297	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Astatotilapia calliptera		Eastern happy	Fish	8154	fAstCal1.3	GCA_900246225.5	880428986	Ensembl	Full genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Bactrocera tryoni		Queensland fruitfly (S06)	Diptera	59916	CSIRO_BtryS06_freeze1	GCA_016617805.2	570658800	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Bemisia tabaci	NEW	Silverleaf whitefly (MED)	Hemiptera	7038	GCA918797505v1	GCA_918797505.1	609949642	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Bicyclus anynana		Squinting bush brown	Lepidoptera	110368	Bicyclus_anynana_v1.2	GCA_900239965.1	475399557	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Boloria selene		Silver meadow fritillary	Lepidoptera	191398	ilBolSele5.2	GCA_905231865.2	399902484	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Bombus breviceps		Bees	Hymenoptera	395515	ASM1482592v1	GCA_014825925.1	248124274	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Bombus campestris		Bees	Hymenoptera	207624	iyBomCamp1.2	GCA_905333015.2	275239257	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Bombus campestris		Bees	Hymenoptera	207624	iyBomCamp1.1	GCA_905333015.1	270743918	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Bombus cullumanus		Bees	Hymenoptera	2562068	ASM1473753v1	GCA_014737535.1	246986414	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Bombus haemorrhoidalis		Bees	Hymenoptera	207636	ASM1482597v1	GCA_014825975.1	240538686	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Bombus hortorum		Bees	Hymenoptera	85660	iyBomHort1.1	GCA_905332935.1	296297395	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Bombus pascuorum		Bees	Hymenoptera	65598	iyBomPasc1.1	GCA_905332965.1	307548333	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Bombus soroeensis		Bees	Hymenoptera	184059	ASM1473736v1	GCA_014737365.1	243573539	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Bombus vancouverensis nearcticus		Bees	Hymenoptera	2705178	Bvanc_JDL1245	GCA_011952275.1	282133710	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Bombylius discolor		Flies	Diptera	2741128	idBomDisc1.1	GCA_939192795.1	279827877	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Bombyx mandarina		Wild silkworm (Bman2017)	Lepidoptera	7092	ASM398793v1	GCA_003987935.1	398588931	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Brassicogethes aeneus		Rapeseed Pollen Beetle	Coleoptera	1431903	PGI_MELIAE_v1	GCA_921294245.1	585278335	PGI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Bubo bubo		Eurasian eagle-owl	Birds	30461	BubBub1.0	GCA_010303855.1	1258069325	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Buteo japonicus		Eastern buzzard	Birds	224669	ButJap1.0	GCA_010312235.1	1259715124	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Cajanus cajan		Pigeon pea	Plants	3821	C.cajan_V1.0	GCA_000340665.1	592816859	IIPG	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Calamotropha paludella		Moths (alternate haplotype)	Lepidoptera	1371681	ilCalPalu1.1_alternate_haplotype	GCA_927399455.1	620053142	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Canis lupus familiaris		Dog (Basenji)	Mammals	9615	Basenji_breed-1.1	GCA_004886185.2	2410429933	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Carassius auratus red var.		Red crucian carp	Fish	657186	ASM906956v1	GCA_009069565.1	1436409119	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Ceutorhynchus assimilis		Seedpod weevil	Coleoptera	467358	PGI_CEUTPL_v4	GCA_917834065.1	674950870	PGI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Chilo suppressalis		Striped rice stemborer	Lepidoptera	168631	PGI_CHILSU_v2	GCA_902850365.1	778668679	PGI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Chironomus riparius		Harlequin fly	Diptera	315576	PGI_CHIRRI_v1	GCA_917627325.1	191837449	PGI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Chrysodeixis includens		Soybean looper	Lepidoptera	689277	PGI_CINC_v6	GCA_903961255.1	379968472	PGI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Chrysolina oricalcia		Beetles	Coleoptera	1587174	icChrOric1.1	GCA_944452925.1	1425033143	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Chrysoteuchia culmella		Moths (alternate haplotype)	Lepidoptera	1594250	ilChrCulm1.1_alternate_haplotype	GCA_910589405.1	585300434	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Cimex lectularius		Bed bug (Harlan)	Hemiptera	79782	Clec_2.1	GCA_000648675.3	510848842	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Cistogaster globosa		Flies (alternate haplotype)	Diptera	1918221	idCisGlob1.1_alternate_haplotype	GCA_937654215.1	1069055037	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Cistogaster globosa		Flies	Diptera	1918221	idCisGlob1.1	GCA_937654795.1	837758165	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Clonorchis sinensis		Oriental liver fluke (Cs-k2)	Metazoa	79923	CSKR.v2	GCA_003604175.2	558124894	The University of Melbourne	Import	FASTA/GTF/GFF3/TSV	FASTA	
Clostera curtula		Moths	Lepidoptera	987902	ilCloCurt1.2	GCA_905475355.2	512665902	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Clytia hemisphaerica		Jellyfish (Z4C2)	Metazoa	252671	Clytia_hemisphaerica_genome_assembly	GCA_902728285.1	420978673	Institut de la Mer de Villefranche	import	FASTA/GTF/GFF3/TSV	FASTA	
Cnaphalocrocis medinalis		Rice leaffolder	Lepidoptera	437488	ASM1485141v1	GCA_014851415.1	528450314	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Coccinella septempunctata		Seven-spotted ladybird	Coleoptera	41139	icCocSept1.1	GCA_907165205.1	398849173	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Colias croceus		Clouded yellow (alternate haplotype)	Lepidoptera	72248	ilColCroc2.1_alternate_haplotype	GCA_905220445.1	305561395	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Cosmia trapezina		Dun-bar pinion (alternate haplotype)	Lepidoptera	116126	ilCosTrap1.1_alternate_haplotype	GCA_905163595.1	884050094	Ensembl	Braker	FASTA/GTF/GFF3/TSV	FASTA	
Cotesia glomerata		White butterfly parasite wasp (CgM1)	Hymenoptera	32391	MPM_Cglom_v2.3	GCA_020080835.1	288846213	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Craniophora ligustri		Moths	Lepidoptera	938226	ilCraLigu1.1	GCA_905163465.1	437978302	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Crassostrea gigas		Pacific oyster	Metazoa	29159	cgigas_uk_roslin_v1	GCA_902806645.1	647905321	The Roslin Institute, The University of Edinburgh	import	FASTA/GTF/GFF3/TSV	FASTA	
Crocuta crocuta		Spotted hyena	Mammals	9678	BGI_CrCroc_1.0	GCA_008692635.1	2348360376	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Cygnus atratus		Black swan	Birds	8868	Cygnus_atratus_primary_v1.0	GCA_013377495.1	1122262644	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Cygnus olor		Mute swan	Birds	8869	bCygOlo1.pri.v2	GCA_009769625.2	1134186642	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Cyprinus carpio carpio		Common carp	Fish	630221	Cypcar_WagV4.0	GCA_905221575.1	1460365368	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Danaus plexippus		Monarch butterfly	Lepidoptera	13037	MEX_DaPlex	GCA_018135715.1	245173502	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Danaus plexippus plexippus		Monarch butterfly	Lepidoptera	278856	Dplex_v4	GCA_009731565.1	248676414	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Daphnia magna		Fresh water planktonic (NIES)	Arthropods	35525	ASM2063170v1.1	GCA_020631705.2	161467056	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Daphnia pulex		Common water flea (KAP4)	Arthropods	6669	ASM2113471v1	GCA_021134715.1	133196385	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Daphnia pulicaria		Water flea (SC F1-1A)	Arthropods	35523	SC_F0_13B	GCA_021234035.2	185057732	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Daubentonia madagascariensis		Aye-aye	Primates	31869	DauMad_v1_BIUU	GCA_004027145.1	2498418007	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Deilephila porcellus		Moths (alternate haplotype)	Lepidoptera	644661	ilDeiPorc1.1_alternate_haplotype	GCA_905220465.1	398986216	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Deilephila porcellus		Moths	Lepidoptera	644661	ilDeiPorc1.2	GCA_905220455.2	402056583	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Delphinapterus leucas		Beluga whale (Cook Inlet)	Mammals	9749	GSC_cook_1.0	GCA_009917745.1	2389893305	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Delphinapterus leucas		Beluga whale (Bristol Bay)	Mammals	9749	GSC_bbay_1.0	GCA_009917725.1	2422274619	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Dendroctonus ponderosae		Mountain pine beetle	Coleoptera	77166	DendPond_male_1.0	GCA_000355655.1	252847629	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Dendrolimus kikuchii		Moths	Lepidoptera	765133	ASM1992509v1	GCA_019925095.1	705515768	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Dendrolimus punctatus		Masson pine moth	Lepidoptera	238572	ASM1227379v1	GCA_012273795.1	614070971	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Dendronephthya gigantea		Carnation coral (DGI-Jeju-01)	Metazoa	151771	DenGig_1.0	GCA_004324835.1	286150628	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Denticeps clupeoides		Denticle herring	Fish	299321	fDenClu1.1	GCA_900700375.1	567401054	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Denticeps clupeoides		Denticle herring	Fish	299321	fDenClu1.2	GCA_900700375.2	567401054	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Dermacentor andersoni		Rocky Mountain wood tick (qqDerAnde1)	Arthropods	34620	qqDerAnde1.2	GCA_023375885.2	2485986691	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Dermacentor silvarum		Ticks (Dsil-2018)	Arthropods	543639	ASM1333974v1	GCA_013339745.1	2474308340	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Dermatophagoides pteronyssinus		European house dust mite (airmid)	Arthropods	6956	ASM190122v2	GCA_001901225.2	70778228	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Desmodus rotundus		Common vampire bat	Mammals	9430	ASM294091v1	GCA_002940915.1	2079315015	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Diabrotica balteata		Cucumber beetle	Coleoptera	107213	PGI_DIABBA_v3	GCA_918026665.1	1607257046	PGI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Diabrotica virgifera virgifera		Western corn rootworm	Coleoptera	50390	PGI_DIABVI_V3a	GCA_917563875.2	2533404242	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Diabrotica virgifera virgifera		Western corn rootworm (Ped12-6-A-3)	Coleoptera	50390	Dvir_v2.0	GCA_003013835.2	2418073815	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Diachrysia chrysitis		Burnished brass moth (alternate haplotype)	Lepidoptera	179674	ilDiaChry1.1_alternate_haplotype	GCA_932294375.1	385757801	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Diachrysia chrysitis		Burnished brass moth	Lepidoptera	179674	ilDiaChry1.1	GCA_932294365.1	386364714	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Diarsia rubi		Moths (alternate haplotype)	Lepidoptera	987925	ilDiaRubi1.1_alternate_haplotype	GCA_932274355.1	575521489	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Diarsia rubi		Moths	Lepidoptera	987925	ilDiaRubi1.1	GCA_932274075.1	624913938	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Diatraea saccharalis		Sugar cane borer	Lepidoptera	40085	PGI_DIATSA_v1	GCA_918026875.1	507694123	PGI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Dicentrarchus labrax		European seabass	Fish	13489	dlabrax2021	GCA_905237075.1	695892153	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Digitaria exilis		Monocots (digitaria_exilis)	Plants	1010633	Fonio_CM05836	GCA_902859565.1	716471022	KAUST	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Dimorphilus gyrociliatus		Segmented worms	Metazoa	2664684	Dgyrociliatus_assembly	GCA_904063045.1	77897245	Department of Biological Sciences, University of Bergen	Import	FASTA/GTF/GFF3/TSV	FASTA	
Diuraphis noxia		Russian wheat aphid (RWA2)	Hemiptera	143948	Dnoxia_1.0	GCA_001186385.1	395073589	NCBI	import	FASTA/GTF/GFF3/TSV	FASTA	
Dolichovespula media		Median wasp	Hymenoptera	881891	iyDolMedi1.1	GCA_911387685.1	247580636	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Dolichovespula media		Median wasp (alternate haplotype)	Hymenoptera	881891	iyDolMedi1.2_alternate_haplotype	GCA_911387715.2	222179092	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Dolichovespula saxonica		Wasps, ants, and bees	Hymenoptera	85443	iyDolSaxo1.1	GCA_911387935.1	221833836	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Dolichovespula sylvestris		Wasps, ants, and bees	Hymenoptera	85444	iyDolSylv1.1	GCA_918808275.1	224800056	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Dromaius novaehollandiae		Emu	Birds	8790	ZJU1.0	GCA_016128335.1	1247468792	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Drosophila melanogaster		Fruit fly	Diptera	7227	BDGP6.46	GCA_000001215.4	143726002	FlyBase	Import	FASTA/GTF/GFF3/TSV	FASTA	
Dryas iulia moderata		Julia butterfly	Lepidoptera	2752932	Diul.assembly.v1.1	GCA_019049465.1	440278161	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Dryobotodes eremita		Moths (alternate haplotype)	Lepidoptera	988106	ilDryErem1.1_alternate_haplotype	GCA_917490515.1	664534381	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Dryobotodes eremita		Moths	Lepidoptera	988106	ilDryErem1.1	GCA_917490735.1	709790899	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Dufourea novaeangliae		Bee (0120121106)	Hymenoptera	178035	ASM127255v1	GCA_001272555.1	279505983	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Echeneis naucrates		Live sharksucker	Fish	173247	fEcheNa1.1	GCA_900963305.1	544212633	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Echinococcus granulosus		Dog tapeworm	Metazoa	6210	ASM52419v1	GCA_000524195.1	110837706	NCBI	Import	FASTA/GTF/GFF3/TSV	FASTA	
Echinococcus multilocularis		Flatworms (Java)	Metazoa	6211	EMULTI002	GCA_000469725.3	114963242	Wellcome Sanger Institute	Import	FASTA/GTF/GFF3/TSV	FASTA	
Ecliptopera silaceata		Small phoenix	Lepidoptera	104457	ilEclSila1.1	GCA_932527185.1	316535149	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Ecliptopera silaceata		Small phoenix (alternate haplotype)	Lepidoptera	104457	ilEclSila1.1_alternate_haplotype	GCA_932527285.1	315614973	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Ectemnius continuus		Bees (alternate haplotype)	Hymenoptera	1126389	iyEctCont1.1_alternate_haplotype	GCA_910591485.1	234892221	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Ectemnius continuus		Bees	Hymenoptera	1126389	iyEctCont1.1	GCA_910591665.1	260337310	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Ectemnius lituratus		Bees	Hymenoptera	2495015	iyEctLitu1.1	GCA_910593735.1	235157002	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Eilema sororculum		Moths	Lepidoptera	987424	ilEilSoro1.1	GCA_914829495.1	729401876	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Endotricha flammealis		Moths	Lepidoptera	1101095	ilEndFlam1.2	GCA_905163395.2	473933762	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Ennomos fuscantarius		Dusky thorn (alternate haplotype)	Lepidoptera	722662	ilEnnFusc2.1_alternate_haplotype	GCA_905220485.1	376766614	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Ennomos quercinarius		Moths	Lepidoptera	875883	ilEnnQuei1.1	GCA_910589525.1	491868579	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Epistrophe grossulariae		Flies (alternate haplotype)	Diptera	1352479	idEpiGros1.1_alternate_haplotype	GCA_929447575.1	550347648	Ensembl	Braker	FASTA/GTF/GFF3/TSV	FASTA	
Equus caballus		Horse (thoroughbred)	Mammals	9796	EquCab3.0	GCA_002863925.1	2506966135	Ensembl	Full genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Erannis defoliaria		Mottled umber moth (alternate haplotype)	Lepidoptera	104474	ilEraDefo1.1_alternate_haplotype	GCA_905404195.1	518526686	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Erebia aethiops		Scotch argus	Lepidoptera	447833	ilEreAeth2.2	GCA_923060345.2	473453904	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Erebia ligea		Arran brown butterfly (alternate haplotype)	Lepidoptera	111903	ilEreLige1.2_alternate_haplotype	GCA_917050995.2	506812252	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Eristalinus sepulchralis		Flies	Diptera	2725509	idEriSepu1.1	GCA_944738645.1	376833488	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Eristalinus sepulchralis		Flies (alternate haplotype)	Diptera	2725509	idEriSepu1.1_alternate_haplotype	GCA_944738805.1	371787597	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Eristalis pertinax		Flies	Diptera	1572519	idEriPert2.1	GCA_907269125.1	482075123	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Erpetoichthys calabaricus		Reedfish	Fish	27687	fErpCal1.1	GCA_900747795.2	3811022027	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Eueides isabella		Butterflies	Lepidoptera	33448	ASM1904947v1	GCA_019049475.1	440123586	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Eulithis prunata		Moths (alternate haplotype)	Lepidoptera	934839	ilEulPrun1.1_alternate_haplotype	GCA_918843955.1	199319236	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Eupithecia abbreviata		Moths (alternate haplotype)	Lepidoptera	934840	ilEupAbbr2.1_alternate_haplotype	GCA_943735975.1	352871579	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Euplexia lucipara		Moths (alternate haplotype)	Lepidoptera	987933	ilEupLuci1.1_alternate_haplotype	GCA_921956305.1	643354249	Ensembl	BRAKER2	FASTA/GTF/GFF3/TSV	FASTA	
Fabriciana adippe		High brown fritillary	Lepidoptera	405009	ilFabAdip1.1	GCA_905404265.1	484811369	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Falco tinnunculus		Common kestrel	Birds	100819	FalTin1.0	GCA_010332995.1	1179901403	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
Felis catus		Domestic cat (American shorthair)	Mammals	9685	ASM1334086v1	GCA_013340865.1	2493141643	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	BAM
Felis catus x Leopardis geoffroyi		Geoffroyi cat	Mammals	2796247	O.geoffroyi_Oge1_pat1.0	GCA_018350155.1	2426370816	Ensembl	Ensembl Genebuild	FASTA/GTF/GFF3/TSV	FASTA	
