Scientific Name,Accession,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Meleagris gallopavo,GCA_000146605.4,Neognathae,101,78.91,"Mir-129, Mir-132, Mir-150, Mir-208, Mir-2184, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",107,83.59,"Mir-1397, Mir-1467, Mir-2001, Mir-2954, Mir-2984, Mir-875"
Strigops habroptila,GCA_004027225.1,Neognathae,109,85.16,"Mir-150, Mir-1781, Mir-2001, Mir-208, Mir-242, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726",113,88.28,"Mir-2131, Mir-2984, Mir-727, Mir-76"
Tachina lurida,GCA_944452685.1,Diptera,41,61.19,"Mir-133, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-7, Mir-750",59,88.06,"Mir-1000, Mir-1175, Mir-153, Mir-193, Mir-1993, Mir-2001, Mir-275, Mir-29, Mir-3, Mir-306, Mir-71, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-988, Mir-999"
Orcinus orca,GCA_937001465.1,Laurasiatheria,172,79.26,"Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",189,87.1,"Mir-1301, Mir-1307, Mir-1329, Mir-1379, Mir-1805, Mir-1842, Mir-187, Mir-1911, Mir-2355, Mir-339, Mir-350, Mir-592, Mir-653, Mir-672, Mir-722, Mir-744, Mir-877"
Melolontha melolontha,GCA_935421215.1,Endopterygota,46,71.88,"Mir-1993, Mir-22, Mir-242, Mir-278, Mir-306, Mir-36",58,90.62,"Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-275, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-316, Mir-970, Mir-989"
Acomys dimidiatus,GCA_907164435.1,Muridae,163,69.07,"Mir-1296, Mir-1301, Mir-1307, Mir-1379, Mir-1388, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-1962, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-351, Mir-3613, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-541, Mir-6529, Mir-7180, Mir-726, Mir-727, Mir-737, Mir-76, Mir-885, Mir-9851",196,83.05,"Mir-1271, Mir-1277, Mir-1329, Mir-186, Mir-1911, Mir-1955, Mir-197, Mir-224, Mir-2355, Mir-3075, Mir-3099, Mir-3112, Mir-330, Mir-345, Mir-383, Mir-432, Mir-504, Mir-540, Mir-542, Mir-590, Mir-628, Mir-667, Mir-674, Mir-676, Mir-700, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-769, Mir-872, Mir-876, Mir-877"
Amphipyra berbera,GCA_910595045.1,Lepidoptera,47,70.15,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Homo sapiens,GCA_018469665.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Catocala fraxini,GCA_930367255.1,Lepidoptera,48,71.64,"Mir-12, Mir-3049, Mir-315, Mir-375, Mir-999",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988"
Operophtera brumata,GCA_932527245.1,Lepidoptera,44,65.67,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-957, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-2001, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-306, Mir-315, Mir-375, Mir-932, Mir-970, Mir-988"
Ptilodon capucinus,GCA_914767695.1,Lepidoptera,45,67.16,"Mir-12, Mir-242, Mir-3049, Mir-36",63,94.03,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-315, Mir-375, Mir-71, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Andrena minutula,GCA_929113085.1,Endopterygota,32,50.0,"Mir-1000, Mir-1175, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-276, Mir-277, Mir-278, Mir-3049, Mir-306, Mir-31, Mir-317, Mir-34, Mir-36, Mir-750, Mir-970, Mir-971",44,68.75,"Iab-4, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3, Mir-316, Mir-71, Mir-929, Mir-932, Mir-965, Mir-989"
Sesia apiformis,GCA_914767545.1,Lepidoptera,50,74.63,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-957, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-36, Mir-932, Mir-970"
Trachurus trachurus,GCA_905171665.1,Clupeocephala,99,86.84,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-71, Mir-76",105,92.11,"Mir-147, Mir-32, Mir-4057, Mir-4541, Mir-729, Mir-875"
Exaiptasia diaphana,GCA_001417965.1,Cnidaria,1.0,33.33,,1,33.33,
Homo sapiens,GCA_018470455.1,Catarrhini,207,84.49,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-624, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Criorhina berberina,GCA_917880925.1,Diptera,50,74.63,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-279, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",57,85.07,"Mir-1175, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Sapajus apella,GCA_009761245.1,Euarchontoglires,169,77.17,"Mir-1388, Mir-1397, Mir-1662, Mir-1805, Mir-1842, Mir-2001, Mir-2188, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-384, Mir-4057, Mir-458, Mir-460, Mir-7147, Mir-725, Mir-726, Mir-76, Mir-9851",195,89.04,"Mir-1271, Mir-1329, Mir-1343, Mir-1379, Mir-1416, Mir-147, Mir-1788, Mir-1912, Mir-2184, Mir-224, Mir-2387, Mir-325, Mir-331, Mir-345, Mir-361, Mir-448, Mir-4541, Mir-456, Mir-511, Mir-653, Mir-672, Mir-71, Mir-722, Mir-727, Mir-737, Mir-770"
Bombus bifarius,GCA_011952205.1,Endopterygota,45,70.31,"Mir-153, Mir-1993, Mir-219, Mir-242, Mir-36, Mir-970, Mir-989",57,89.06,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Pollenia amentaria,GCA_943735925.1,Diptera,45,67.16,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-29, Mir-3049, Mir-36, Mir-71, Mir-750",57,85.07,"Mir-1000, Mir-1175, Mir-2001, Mir-275, Mir-306, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-988, Mir-999"
Vespula vulgaris,GCA_905475345.1,Endopterygota,43,67.19,"Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-36, Mir-87, Mir-970",56,87.5,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-927, Mir-929, Mir-932, Mir-971, Mir-989"
Betta splendens,GCA_900634795.3,Clupeocephala,98,85.96,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-4541, Mir-71, Mir-729, Mir-76",101,88.6,"Mir-147, Mir-456, Mir-875"
Salmo salar,GCA_931346935.2,Clupeocephala,94,82.46,"Mir-1329, Mir-252, Mir-278, Mir-281, Mir-31, Mir-315, Mir-4057, Mir-4541, Mir-76, Mir-875",104,91.23,"Mir-147, Mir-191, Mir-2001, Mir-242, Mir-32, Mir-425, Mir-451, Mir-71, Mir-7133, Mir-729"
Lasioglossum morio,GCA_916610235.2,Endopterygota,43,67.19,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-36, Mir-970, Mir-989",57,89.06,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-317, Mir-375, Mir-67, Mir-929, Mir-932, Mir-971"
Athalia rosae,GCA_917207985.2,Endopterygota,45,70.31,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-989",59,92.19,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-970"
Hippoglossus hippoglossus,GCA_009819705.1,Clupeocephala,98,85.96,"Mir-1329, Mir-2001, Mir-252, Mir-281, Mir-315, Mir-32, Mir-4057, Mir-4541, Mir-71, Mir-76, Mir-875",103,90.35,"Mir-147, Mir-242, Mir-278, Mir-451, Mir-729"
Anoplius nigerrimus,GCA_914767785.1,Endopterygota,42,65.62,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-36, Mir-970",58,90.62,"Mir-1000, Mir-14, Mir-2001, Mir-275, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-67, Mir-927, Mir-929, Mir-932, Mir-965, Mir-971, Mir-989"
Athalia rosae,GCA_000344095.2,Endopterygota,45,70.31,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,90.62,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Daphnia pulicaria,GCA_021234035.2,Daphnia,47,88.68,"Mir-2001, Mir-242, Mir-2765, Mir-316",49,92.45,"Let-7, Mir-278"
Anser cygnoides domesticus,GCA_000971095.1,Neognathae,90,70.31,"Mir-129, Mir-132, Mir-139, Mir-144, Mir-150, Mir-1781, Mir-1788, Mir-191, Mir-2001, Mir-203, Mir-208, Mir-210, Mir-2184, Mir-219, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-451, Mir-4541, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",96,75.0,"Mir-1467, Mir-1720, Mir-1729, Mir-2131, Mir-24, Mir-875"
Ypsolopha sequella,GCA_934041175.1,Lepidoptera,47,70.15,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-970",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-22, Mir-2765, Mir-3, Mir-316, Mir-929, Mir-932, Mir-957, Mir-988, Mir-999"
Eristalis pertinax,GCA_907269125.1,Diptera,48,71.64,"Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",60,89.55,"Mir-1175, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-2001, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Myzus persicae,GCA_001856785.1,Neoptera,30,48.39,"Mir-12, Mir-133, Mir-153, Mir-1993, Mir-2001, Mir-216, Mir-22, Mir-242, Mir-2765, Mir-282, Mir-306, Mir-31, Mir-33, Mir-932",48,77.42,"Iab-4, Mir-1, Mir-1000, Mir-14, Mir-193, Mir-210, Mir-275, Mir-277, Mir-2796, Mir-3, Mir-3049, Mir-316, Mir-317, Mir-36, Mir-76, Mir-929, Mir-965, Mir-971"
Homo sapiens,GCA_018471065.1,Catarrhini,207,84.49,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-651, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",220,89.8,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Eurytemora affinis,GCA_000591075.2,Pancrustacea,26,49.06,"Mir-137, Mir-193, Mir-1993, Mir-2765, Mir-282, Mir-29, Mir-317, Mir-36, Mir-375, Mir-76",43,81.13,"Iab-4, Mir-1, Mir-12, Mir-124, Mir-153, Mir-190, Mir-2001, Mir-210, Mir-242, Mir-277, Mir-3, Mir-31, Mir-316, Mir-750, Mir-8, Mir-87, Mir-965"
Chrysotoxum bicinctum,GCA_911387755.1,Diptera,50,74.63,"Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",59,88.06,"Mir-153, Mir-275, Mir-306, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Hyles euphorbiae,GCA_023078785.2,Lepidoptera,47,70.15,"Mir-12, Mir-1993, Mir-219, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-988, Mir-999",57,85.07,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-22, Mir-242, Mir-2765, Mir-932, Mir-965, Mir-970"
Homo sapiens,GCA_018505845.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Agrochola circellaris,GCA_914767685.1,Lepidoptera,47,70.15,Mir-3049,66,98.51,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-315, Mir-36, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Penaeus monodon,GCA_015228065.1,Pancrustacea,38,71.7,"Mir-193, Mir-1993, Mir-216, Mir-22, Mir-242, Mir-31, Mir-36, Mir-375",45,84.91,"Iab-4, Mir-275, Mir-2765, Mir-282, Mir-316, Mir-33, Mir-965"
Andrena minutula,GCA_929113495.1,Endopterygota,45,70.31,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970",59,92.19,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Hesperia comma,GCA_905404135.1,Lepidoptera,45,67.16,"Mir-12, Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957",59,88.06,"Mir-1000, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-929, Mir-932, Mir-970, Mir-971, Mir-988, Mir-989, Mir-999"
Phlogophora meticulosa,GCA_905147745.1,Lepidoptera,48,71.64,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-375, Mir-957",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Agriphila geniculea,GCA_943789515.1,Lepidoptera,46,68.66,"Mir-1000, Mir-12, Mir-3049, Mir-315, Mir-36",62,92.54,"Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-316, Mir-34, Mir-71, Mir-929, Mir-932, Mir-957, Mir-970, Mir-999"
Tridacna crocea,GCA_943736015.1,Mollusca,44,84.62,Mir-210,51,98.08,"Mir-1984, Mir-1985, Mir-1986, Mir-1989, Mir-2001, Mir-242, Mir-2722"
Rattus norvegicus,GCA_021556685.1,Muridae,181,76.69,"Mir-1296, Mir-1307, Mir-1329, Mir-1343, Mir-1379, Mir-1388, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-1911, Mir-197, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-3613, Mir-4057, Mir-432, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-599, Mir-6529, Mir-71, Mir-7147, Mir-7180, Mir-722, Mir-725, Mir-727, Mir-737, Mir-76, Mir-769, Mir-885, Mir-9851",190,80.51,"Mir-1271, Mir-1277, Mir-1301, Mir-2355, Mir-351, Mir-491, Mir-590, Mir-628, Mir-726"
Homo sapiens,GCA_018472595.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Sipha flava,GCA_003268045.1,Neoptera,33,53.23,"Bantam, Mir-12, Mir-133, Mir-153, Mir-1993, Mir-2001, Mir-216, Mir-22, Mir-242, Mir-276, Mir-2765, Mir-2796, Mir-282, Mir-306, Mir-31, Mir-33, Mir-36, Mir-932",44,70.97,"Iab-4, Mir-14, Mir-210, Mir-275, Mir-3, Mir-3049, Mir-316, Mir-317, Mir-929, Mir-965, Mir-971"
Bufo gargarizans,GCA_014858855.1,Amphibia,89,79.46,"Mir-2001, Mir-278, Mir-281, Mir-315, Mir-599, Mir-726",106,94.64,"Mir-1329, Mir-139, Mir-140, Mir-147, Mir-187, Mir-242, Mir-32, Mir-4057, Mir-451, Mir-4541, Mir-458, Mir-71, Mir-722, Mir-727, Mir-737, Mir-76, Mir-875"
Coccinella septempunctata,GCA_907165205.1,Endopterygota,46,71.88,"Mir-1993, Mir-2001, Mir-242, Mir-275, Mir-278, Mir-36",58,90.62,"Mir-12, Mir-153, Mir-22, Mir-2765, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-750, Mir-965, Mir-970, Mir-989"
Chelonus insularis,GCA_013357705.1,Endopterygota,41,64.06,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-3, Mir-306, Mir-36, Mir-989",56,87.5,"Mir-1000, Mir-124, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-29, Mir-3049, Mir-316, Mir-927, Mir-929, Mir-932, Mir-965, Mir-970, Mir-971"
Molothrus ater,GCA_012460135.1,Neognathae,106,82.81,"Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-7147, Mir-722, Mir-725, Mir-76, Mir-875",113,88.28,"Mir-1397, Mir-1451, Mir-4541, Mir-599, Mir-71, Mir-727, Mir-737"
Homo sapiens,GCA_018470445.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Sphaerophoria taeniata,GCA_943591125.1,Diptera,48,71.64,"Mir-1175, Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-750",58,86.57,"Mir-14, Mir-275, Mir-306, Mir-71, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Sphaerophoria rueppellii,GCA_920937365.1,Diptera,47,70.15,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",58,86.57,"Let-7, Mir-1175, Mir-14, Mir-275, Mir-306, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Lysandra bellargus,GCA_905333045.1,Lepidoptera,47,70.15,"Mir-12, Mir-3049, Mir-315, Mir-375, Mir-957",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-36, Mir-929, Mir-932, Mir-970, Mir-988, Mir-999"
Adalia bipunctata,GCA_910592335.1,Endopterygota,46,71.88,"Mir-12, Mir-2001, Mir-242, Mir-278, Mir-36",59,92.19,"Mir-153, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-750, Mir-965, Mir-970, Mir-989"
Heliconius sara,GCA_917862395.1,Lepidoptera,54,80.6,"Mir-12, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",61,91.04,"Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-929"
